id,code,genotype,date,latitude,longitude,sensor,mac_address,ndvi,near_infrared,red,green,blue,infrared,NDVI,RDVI,NDVIg,NDVIb,SR,MSR,IPVI,SIPI,EVI,GARI,SAVI,GSAVI,GOSAVI,NPCI,GCI,GRVI,PSRI,NLI,TDVI,VARI,WDRVI,GRDVI,GBNDVI,RBNDVI,PNDVI,ISR,NDWI,TGI,GLI,CVI,WDRVI.1,BWDRVI ,GRVI.1,redEdge,ndre,sr,dgci,sipi,rgr,ari,ndvi.1,infrared.1,red.1,green.1,blue.1,near_infrared.1,NDVI.1,RDVI.1,NDVIg.1,NDVIb.1,SR.1,MSR.1,IPVI.1,SIPI.1,EVI.1,GARI.1,SAVI.1,GSAVI.1,GOSAVI.1,NPCI.1,GCI.1,GRVI.2,PSRI.1,NLI.1,TDVI.1,VARI.1,WDRVI.2,GRDVI.1,GBNDVI.1,RBNDVI.1,PNDVI.1,ISR.1,NDWI.1,TGI.1,GLI.1,CVI.1,WDRVI.3,BWDRVI .1,GRVI.3,redEdge.1,ndre.1,sr.1,dgci.1,sipi.1,rgr.1,ari.1,yield_g,plant_height_cm,NDVI_calculated,NDRE_calculated,EVI_provided
1,183,P1,18.03.2022. ,44.8684957,20.328049175,,,0.31631251002167077,185.75,96.5,69.75,45.75,198.75,0.346380925406962,10.101931371507632,0.48101088407945153,0.6257256063835528,2.0648942131205157,55.20457525305636,0.673190462703481,1.5007208650101338,0.5872206578220635,0.12093226378316996,0.5186909613687907,0.7201698155154476,0.4807232624015902,0.3569855205235524,1.864640065792879,-0.16181157916206834,0.1351100512972849,0.9951043651113917,0.7699771652271457,-0.2233271946585512,-0.4158805688635927,0.08968119891024227,0.2655922867864846,0.16598732377857156,-0.03151126618372213,0.4860519689699949,-0.48101088407945153,4.207499999999999,-0.010659681022634714,3.9787384457868433,-0.6578746957589772,-0.3933590775034979,2.864640065792879,148.25,0.11232549193658503,1.9307581073403723,44.323750000000004,0.356985520523552,1.3870300031940175,0.004046060126569145,0.31631251002167077,198.75,96.5,69.75,45.75,185.75,0.3163125100216712,9.434897225720603,0.45459392972559326,0.6046917882666232,1.9307581073403777,56.466594017882755,0.6581562550108355,1.5759864588105592,0.5285512319911687,0.08756412860702592,0.4736279433262121,0.6805540218498343,0.45430834849784746,0.3569855205235524,1.6788356768598647,-0.16181157916206834,0.14455096983593763,0.994396360751749,0.7187113848228056,-0.2233271946585512,-0.44331675031480255,0.05613568003811907,0.23393892516517428,0.13300100694074868,-0.06513250975338906,0.5201870432876254,-0.45459392972559326,4.207499999999999,-0.010659681022634714,3.7210669148289948,-0.6765241641141884,-0.4214109446200841,2.6788356768598645,148.25,0.11232549193658503,1.9307581073403723,44.323750000000004,0.356985520523552,1.3870300031940175,0.004046060126569145,4372,75.0,0.31620903454384414,0.1122754491017964,0.5872206578220635
2,184,P2,18.03.2022. ,44.86845877500001,20.328028500000002,,,0.27552464761004747,158.75,90.25,62.5,41.25,170.25,0.3076352408806402,8.934707803095577,0.46352619677111506,0.6101112784777571,1.8947163301814465,53.16393672758545,0.6538176204403201,1.6240881274013803,0.5022682170402822,0.07951959936935239,0.46056654364041594,0.6937956028586344,0.46320707579051645,0.3718784300267808,1.7429036006105023,-0.18227627083672182,0.1630810902740618,0.9937809200713811,0.7033085754527808,-0.250500342706805,-0.4509181342939839,0.05531163040997816,0.24322282474475515,0.12888947823237523,-0.06430220362825306,0.5303974456294047,-0.46352619677111506,2.1400000000000015,-0.026364440277883268,3.9718458597554225,-0.681625664015581,-0.4150793161709419,2.742903600610502,126.75,0.1124944994264193,1.7685535394837675,45.7966,0.37187843002678056,1.44605161946004,0.004982213809061997,0.27552464761004747,170.25,90.25,62.5,41.25,158.75,0.275524647610048,8.257252500917936,0.4354193230217629,0.5875876172546245,1.7685535394837721,54.393935371026906,0.6377623238050241,1.7410641192503937,0.4438377020182155,0.04474469073519635,0.41245705949275574,0.651654250967184,0.4351042291482102,0.3718784300267808,1.5608901201838847,-0.18227627083672182,0.17499271415821205,0.9928337430627102,0.6446326958866175,-0.250500342706805,-0.47812261503702475,0.02041854365454384,0.209959729599614,0.09432088647821431,-0.09896726951759281,0.5694777872898489,-0.4354193230217629,2.1400000000000015,-0.026364440277883268,3.709181646574132,-0.6997105983396251,-0.44351881414906824,2.5608901201838847,126.75,0.1124944994264193,1.7685535394837675,45.7966,0.37187843002678056,1.44605161946004,0.004982213809061997,4559,75.0,0.2751004016064257,0.11208406304728546,0.5022682170402822
3,185,P3,18.03.2022. ,44.868429299999995,20.32798725,,,0.29014161636814,153.25,84.25,59.25,39.75,169.0,0.33448037686815124,9.195902464967592,0.48149106226450045,0.618932247177838,2.0057642240108806,48.597390027568,0.6672401884340756,1.5254803203332614,0.5612659398346669,0.11261331437841425,0.5007252756518001,0.7206420135973695,0.48115036887713497,0.3589584950303821,1.8581174909479923,-0.17520575309011494,0.14875447054850272,0.9940663785071046,0.7507028087475162,-0.24277636937791952,-0.4274480974057665,0.08182296238143207,0.26149853427338543,0.15340593209278763,-0.04033542891879622,0.49878366081273773,-0.48149106226450045,2.1449999999999996,-0.023725548611760575,4.076506490279997,-0.6658871804343833,-0.4031043975338504,2.8581174909479925,120.5,0.11940537699441009,1.8195060364713251,46.178425,0.35895849503038146,1.4256243828176398,0.005120206398701253,0.29014161636814,169.0,84.25,59.25,39.75,153.25,0.29014161636814034,8.291642935867106,0.4428210793165226,0.5876229234215277,1.8195060364713327,50.19343477717374,0.6450708081840701,1.649475988084859,0.4765956411558872,0.06393370838594566,0.4342925147540375,0.6626567385820915,0.4424845571052569,0.3589584950303821,1.5926339285714286,-0.17520575309011494,0.16421358484007978,0.9927732403456775,0.6729236096070589,-0.24277636937791952,-0.4665610999249722,0.03293391430646332,0.21518250062920605,0.10516100867762782,-0.08913679487168524,0.5505697784088744,-0.4428210793165226,2.1449999999999996,-0.023725548611760575,3.697762510569603,-0.6921866700162573,-0.44320844724384345,2.592633928571429,120.5,0.11940537699441009,1.8195060364713251,46.178425,0.35895849503038146,1.4256243828176398,0.005120206398701253,4600,61.0,0.2905263157894737,0.11963470319634703,0.5612659398346669
4,186,P4,18.03.2022. ,44.868399,20.327932075000003,,,0.30880772362326275,161.5,85.25,59.25,39.0,174.25,0.34277028898126577,9.428073080156828,0.4927064662987405,0.6346549720759609,2.045415727266516,48.87658034459945,0.6713851444906328,1.5239433926180914,0.5663187175896678,0.11668097326894768,0.5131662338309048,0.7374776453552883,0.49236846870693773,0.3729037093175024,1.956161132774036,-0.18088284147347977,0.1493551519694698,0.9943810608176636,0.7643231357025304,-0.24785622944830107,-0.41956669226159476,0.09347599178406948,0.2793964711249747,0.1675226097900768,-0.025595635424528113,0.48973155467720686,-0.4927064662987405,2.212500000000002,-0.02463846984576963,4.2839901877925,-0.6604643967298072,-0.3812109614935846,2.956161132774036,126.75,0.12076639789549319,1.8961746487212725,46.249300000000005,0.37290370931750194,1.44395743891711,0.005228402042223948,0.30880772362326275,174.25,85.25,59.25,39.0,161.5,0.30880772362326286,8.724657463128706,0.46326801853117644,0.6112671089571902,1.896174648721277,50.12614047474237,0.6544038618116315,1.6124406426130564,0.5013934081755194,0.07910266284701226,0.4622746392364735,0.6933297727872341,0.46293208674695707,0.3729037093175024,1.742560754657529,-0.18088284147347977,0.16089558424477102,0.9934600042786544,0.7061002815996609,-0.24785622944830107,-0.45031146970516645,0.0557203460786999,0.24394351816801918,0.13036932233761334,-0.06346072328924063,0.5284931604432266,-0.46326801853117644,2.212500000000002,-0.02463846984576963,3.977439645314826,-0.6813032244822962,-0.4130339625604196,2.742560754657529,126.75,0.12076639789549319,1.8961746487212725,46.249300000000005,0.37290370931750194,1.44395743891711,0.005228402042223948,5065,73.5,0.3090172239108409,0.12055507372072853,0.5663187175896678
5,187,P5,18.03.2022. ,44.86835655,20.327876574999998,,,0.3008340206706165,150.75,81.25,56.25,36.75,165.75,0.343557274379082,9.189126521027882,0.4939910326791247,0.6386054693386365,2.050306100404745,46.619530822177715,0.671778637189541,1.5281250000000002,0.5634279807986607,0.1151387170741974,0.5142825549995218,0.7393082310916138,0.493632435448737,0.37809553341513263,1.9557143286452696,-0.18109056888797334,0.15018215562410023,0.9941016237577706,0.7653602497815483,-0.24682278805322516,-0.41869061937888347,0.09461238089282648,0.28275637459006164,0.1702057381155415,-0.023239575754149415,0.4890010702705463,-0.4939910326791247,2.1449999999999996,-0.022941142904541113,4.265784753363958,-0.6598341196367549,-0.37485957161237615,2.9557143286452696,120.5,0.11191387533758726,1.8637228925614548,46.718725000000006,0.37809553341513225,1.4432473855030625,0.005491287841186225,0.3008340206706165,165.75,81.25,56.25,36.75,150.75,0.30083402067061676,8.330773492557153,0.45705510367157476,0.6095576120587809,1.8637228925614582,48.102156113895404,0.6504170103353084,1.6444908582165252,0.48292327842000465,0.06787712076158935,0.4502682300469262,0.6839167037127087,0.45669910786222057,0.37809553341513263,1.687249068397644,-0.18109056888797334,0.16515566023492467,0.9928578101278669,0.6917914257090908,-0.24682278805322516,-0.45721462000531765,0.04717213736201078,0.2383152966815964,0.12356507453336768,-0.07081061308912516,0.5379755247922655,-0.45705510367157476,2.1449999999999996,-0.022941142904541113,3.8790819421449614,-0.6859194605079336,-0.41510872966207757,2.687249068397644,120.5,0.11191387533758726,1.8637228925614548,46.718725000000006,0.37809553341513225,1.4432473855030625,0.005491287841186225,4656,64.0,0.2995689655172414,0.11152073732718894,0.5634279807986607
6,188,X,18.03.2022. ,44.868303775,20.3278087,,,0.23679280612937748,145.0,89.5,62.5,41.5,159.25,0.28071954164344026,8.334679910062732,0.4379034818302925,0.5865105842388636,1.785268817204301,53.718622947967745,0.6403597708217201,1.6973692019180555,0.45341582935501,0.05124569039822973,0.42022713826156216,0.6553584778495569,0.43758367610690974,0.36657590607420976,1.5718334896555475,-0.17958906621581272,0.17072009152469067,0.9929087799818928,0.6551362617192019,-0.24712301587301586,-0.47419935109126765,0.024590097926216196,0.21140668800181514,0.09785802087687606,-0.09577376454878557,0.5624664931528733,-0.4379034818302925,2.2799999999999976,-0.02556995222867407,3.7160507986574616,-0.6971933048458223,-0.4439347736244706,2.5718334896555475,115.75,0.11332558344010651,1.6233050367855073,45.73485,0.36657590607420926,1.4404862640350125,0.005017262890461082,0.23679280612937748,159.25,89.5,62.5,41.5,145.0,0.23679280612937803,7.432154935299112,0.3992545668256201,0.5549215804625667,1.6233050367855122,55.314275819379915,0.618396403064689,1.877769115170495,0.3744096396449799,0.004127367742603509,0.35442629658101005,0.5974203908232991,0.3989422647143037,0.36657590607420976,1.336927520865617,-0.17958906621581272,0.18780537917136014,0.9914396664258964,0.5721331574354501,-0.24712301587301586,-0.5100690739879491,-0.022569993721576635,0.16605417788935414,0.050988535881962185,-0.14232120939825918,0.6177589205975552,-0.3992545668256201,2.2799999999999976,-0.02556995222867407,3.3744851060131125,-0.720772795030043,-0.48118539815084893,2.336927520865617,115.75,0.11332558344010651,1.6233050367855073,45.73485,0.36657590607420926,1.4404862640350125,0.005017262890461082,2605,71.5,0.23667377398720682,0.11217641418983701,0.45341582935501
7,189,XX,18.03.2022. ,44.868261940000004,20.327763179999998,,,0.2249373355685294,140.6,89.2,59.4,40.0,159.2,0.2834621219291775,8.364204516746195,0.45758070921690147,0.5990560046827966,1.7948041515930935,53.47857211960469,0.6417310609645888,1.7052067639623565,0.44751423846751265,0.05580829461932668,0.42432915316504155,0.6847940679299924,0.45724375460961664,0.380345236348562,1.6933836644781173,-0.2001741065261579,0.1864435844200792,0.9929971869187965,0.6604572592142566,-0.2743041355807313,-0.4720330683566337,0.03625894315421656,0.23248997121811604,0.1057303489897218,-0.08277124609129273,0.5589185358150585,-0.45758070921690147,0.21200000000000188,-0.04179310344653882,4.044609098039927,-0.6957842799290023,-0.4288730021464269,2.6933836644781173,113.6,0.1058525390816308,1.584237106431618,46.593360000000004,0.3803452363485616,1.501141129401994,0.005662848842148816,0.2249373355685294,159.2,89.2,59.4,40.0,140.6,0.22493733556852974,7.158769987656979,0.4067104268995686,0.5573502294251438,1.5842371064316236,55.602391119729575,0.6124686677842648,1.9698198166306775,0.3449849853567644,-0.006671454177083663,0.33666436772871355,0.6085328354444863,0.40638286574046995,0.380345236348562,1.3768836610665696,-0.2001741065261579,0.21147462286441293,0.9909894169126824,0.5482537715289406,-0.2743041355807313,-0.5191269847503518,-0.02626658862517827,0.17250061946178624,0.04354198756368108,-0.1444715106301863,0.6336707540233304,-0.4067104268995686,0.21200000000000188,-0.04179310344653882,3.568590543867912,-0.7266122561976737,-0.478416565501509,2.3768836610665693,113.6,0.1058525390816308,1.584237106431618,46.593360000000004,0.3803452363485616,1.501141129401994,0.005662848842148816,2589,64.0,0.22367275892080066,0.10621557828481511,0.44751423846751265
8,190,XXX,18.03.2022. ,44.868218739999996,20.32771156,,,0.18627299423417282,130.4,89.2,58.8,40.8,146.2,0.24199897864317865,7.534052453482237,0.4264552849655437,0.5633232085310461,1.6426485790962246,54.94124096456545,0.6209994893215893,1.8648161636094465,0.37885107100081433,0.017759033988730015,0.3622287835879258,0.6381232099058912,0.426121991589907,0.3724881379074928,1.4888729021387075,-0.2053805372339501,0.20900767065230333,0.9916454048652618,0.5819758995921827,-0.28396492749433927,-0.5058023522913204,-0.006168377026210129,0.1895231649923288,0.05872575355028442,-0.12710475895981338,0.6112054488267804,-0.4264552849655437,-0.8759999999999991,-0.05013810836521745,3.7842869648283086,-0.7179635382383275,-0.47158627326909475,2.488872902138707,107.2,0.09762581424049885,1.4656888612807077,46.79482,0.3724881379074924,1.5200851134579598,0.00581929952188498,0.18627299423417282,146.2,89.2,58.8,40.8,130.4,0.18627299423417343,6.360572549546841,0.3776147213432221,0.5218199373234803,1.465688861280714,56.917959713761206,0.5931364971170867,2.263632685174778,0.2847145913322013,-0.04040759790529651,0.2787777876267922,0.5649253251748204,0.37729483573000094,0.3724881379074928,1.2159074559005496,-0.2053805372339501,0.23631767552198552,0.9893762240066657,0.46630794322206004,-0.28396492749433927,-0.5473626583114215,-0.06424936988950022,0.13275151154430914,0.0005965879746349531,-0.18373709687280768,0.6883193996745592,-0.3776147213432221,-0.8759999999999991,-0.05013810836521745,3.362004030148376,-0.7446010742380362,-0.5150882690993217,2.21590745590055,107.2,0.09762581424049885,1.4656888612807077,46.79482,0.3724881379074924,1.5200851134579598,0.00581929952188498,1322,61.0,0.18761384335154827,0.09764309764309764,0.37885107100081433
9,191,XXXX,18.03.2022. ,44.868179239999996,20.327665939999996,,,0.2339702975557792,142.0,88.0,57.8,38.8,160.8,0.29093297710938304,8.477452475853017,0.46915130648739967,0.610152312599681,1.833779527681863,52.43007748985027,0.6454664885546916,1.7066841620024538,0.452296664283775,0.06193135828467581,0.4355199124205857,0.7021111152884343,0.46880604878051724,0.39054436228882716,1.7850802927833904,-0.20655552712046732,0.1893792331008023,0.9930290096295744,0.6715446825229683,-0.2815057787998314,-0.46447401992034487,0.047542345763981315,0.24820694098305088,0.11761517938847274,-0.06938320732691285,0.55153474245157,-0.46915130648739967,-0.18800000000000097,-0.04479426469932516,4.231673367250463,-0.6905201490831195,-0.4097189502512296,2.78508029278339,116.2,0.10077122220453058,1.620263323520988,46.92912,0.3905443622888266,1.5210826703562739,0.00595331142696734,0.2339702975557792,160.8,88.0,57.8,38.8,142.0,0.23397029755577972,7.294678738936355,0.4200906837450965,0.5704596130050779,1.6202633235209958,54.5072259162802,0.6169851487778899,1.963908178497849,0.3523194900568063,0.0006476530635232042,0.3501899024434342,0.6285546299691103,0.41975273797062523,0.39054436228882716,1.4607691196486385,-0.20655552712046732,0.2139720483040321,0.9911272894559551,0.5640175000765171,-0.2815057787998314,-0.5113454974263216,-0.01373018584948656,0.18999131240531217,0.05689342227121731,-0.1300753657985664,0.623168343856603,-0.4200906837450965,-0.18800000000000097,-0.04479426469932516,3.738876030234318,-0.7214371064491929,-0.4594420315860853,2.4607691196486385,116.2,0.10077122220453058,1.620263323520988,46.92912,0.3905443622888266,1.5210826703562739,0.00595331142696734,4500,73.5,0.23478260869565218,0.09992254066615026,0.452296664283775
10,192,XXXXX,18.03.2022. ,44.86815148,20.3276093,,,0.2613257520795406,138.8,81.2,54.8,36.2,154.4,0.3108824892254697,8.535130103480046,0.47715265621947267,0.6206869376279861,1.9120388923338347,47.73113063143246,0.6554412446127349,1.6316830996174576,0.49490765014778343,0.08128278994917507,0.46533258734309113,0.7140104072466714,0.47678542388769285,0.3844735136343888,1.8378007966532557,-0.1951376960664432,0.17267818307389254,0.9931533635677905,0.708053234509238,-0.26576752815291016,-0.44760191651752457,0.06433211622095854,0.2598343990408058,0.13703360179859764,-0.0531240120503047,0.5271591490083841,-0.47715265621947267,1.0499999999999978,-0.03522479509765649,4.229403308315552,-0.6793046301313724,-0.39918888866642244,2.837800796653256,113.4,0.09990999195577528,1.719940772873042,47.13271999999999,0.3844735136343885,1.488568526191472,0.006072814341715134,0.2613257520795406,154.4,81.2,54.8,36.2,138.8,0.2613257520795411,7.544905469756047,0.43431687684259207,0.5862335008445065,1.7199407728730456,49.41533340671181,0.6306628760397706,1.833753507802421,0.4066306135052721,0.027672099862187594,0.39109844555319434,0.6497854770396244,0.433955737156258,0.3844735136343888,1.551526751936588,-0.1951376960664432,0.19296487867177523,0.9914563720107511,0.6163145753813967,-0.26576752815291016,-0.4891965382730111,0.010642554441283116,0.20888489764598753,0.08388716783998498,-0.10644863719281654,0.5882618135376756,-0.43431687684259207,1.0499999999999978,-0.03522479509765649,3.800968175337302,-0.7069009348593773,-0.4431175592884696,2.5515267519365876,113.4,0.09990999195577528,1.719940772873042,47.13271999999999,0.3844735136343885,1.488568526191472,0.006072814341715134,5387,65.0,0.26181818181818184,0.10071371927042032,0.49490765014778343
