sample_id,genotype,near_infrared,red,redEdge,blue,EVI,date,NDVI_calculated,NDRE_calculated,yield_g,plant_height_cm
5.0,P5,209.125,60.0,151.25,49.875,1.892366478114225,16 May 2022,0.5541105434277752,0.160596600763094,4656.0,64.0
5.0,P5,150.75,81.25,120.5,36.75,0.5634279807986607,18 Mar 2022,0.2995689655172414,0.11152073732718894,4656.0,64.0
5.0,P5,196.8,58.6,144.2,44.4,1.6020804357481206,27 May 2022,0.5411119812059515,0.1542521994134898,4656.0,64.0
6.0,X,109.33333333333333,37.0,80.0,22.333333333333332,1.168704660005095,11 Apr 2022,0.49430523917995445,0.15492957746478872,2605.0,71.5
6.0,X,183.71428571428572,53.0,139.0,35.57142857142857,1.3994913940725777,16 May 2022,0.552202776101388,0.13855688357680393,2605.0,71.5
6.0,X,145.0,89.5,115.75,41.5,0.45341582935501,18 Mar 2022,0.23667377398720682,0.11217641418983701,2605.0,71.5
6.0,X,143.0,47.4,115.4,32.0,1.3684748259059458,27 May 2022,0.5021008403361344,0.1068111455108359,2605.0,71.5
7.0,XX,102.0,37.0,76.33333333333333,20.333333333333332,1.0056106150847446,11 Apr 2022,0.4676258992805755,0.14392523364485985,2589.0,64.0
7.0,XX,200.57142857142858,56.42857142857143,149.85714285714286,37.142857142857146,1.416216508374642,16 May 2022,0.5608671484157867,0.14472075010191604,2589.0,64.0
7.0,XX,140.6,89.2,113.6,40.0,0.44751423846751265,18 Mar 2022,0.22367275892080066,0.10621557828481511,2589.0,64.0
7.0,XX,178.4,50.4,134.2,30.0,1.3089942907260876,27 May 2022,0.5594405594405594,0.14139475367882282,2589.0,64.0
8.0,XXX,106.0,41.0,80.0,22.5,0.9873533724340176,11 Apr 2022,0.4421768707482993,0.13978494623655913,1322.0,61.0
8.0,XXX,168.14285714285714,73.28571428571429,137.42857142857142,43.57142857142857,0.8923970809411942,16 May 2022,0.3928994082840236,0.10051425899953252,1322.0,61.0
8.0,XXX,130.4,89.2,107.2,40.8,0.37885107100081433,18 Mar 2022,0.18761384335154827,0.09764309764309764,1322.0,61.0
8.0,XXX,99.8,52.8,86.0,27.6,0.652161723023801,27 May 2022,0.30799475753604194,0.0742734122712594,1322.0,61.0
9.0,XXXX,131.33333333333334,37.0,95.66666666666667,23.333333333333332,1.3633042681955725,11 Apr 2022,0.5603960396039604,0.15712187958883997,4500.0,73.5
9.0,XXXX,277.14285714285717,81.57142857142857,205.28571428571428,71.42857142857143,2.111538198047866,16 May 2022,0.5452011150935883,0.1489487710986083,4500.0,73.5
9.0,XXXX,142.0,88.0,116.2,38.8,0.452296664283775,18 Mar 2022,0.23478260869565218,0.09992254066615026,4500.0,73.5
9.0,XXXX,164.6,55.4,127.0,44.4,1.6927146375116564,27 May 2022,0.4963636363636363,0.12894375857338816,4500.0,73.5
10.0,XXXXX,123.0,35.333333333333336,87.66666666666667,18.666666666666668,1.2122245373532012,11 Apr 2022,0.5536842105263157,0.16772151898734172,5387.0,65.0
10.0,XXXXX,243.0,61.857142857142854,165.85714285714286,52.857142857142854,2.0938228278563082,16 May 2022,0.5941893158388004,0.18867924528301885,5387.0,65.0
10.0,XXXXX,138.8,81.2,113.4,36.2,0.49490765014778343,18 Mar 2022,0.26181818181818184,0.10071371927042032,5387.0,65.0
